Flight,DepartureTime,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Delay
2199.0,19:00,01:59,DL,MEM,MCO,Thu,yes
32.0,13:47,03:43,UA,DEN,EWR,Thu,yes
1050.0,15:35,01:00,WN,BWI,PIT,Mon,yes
379.0,13:34,02:21,DL,BUF,ATL,Tue,no
238.0,22:19,04:37,UA,SAN,IAD,Sun,no
3719.0,17:30,00:55,9E,LAN,DTW,Sun,no
245.0,14:32,00:34,HA,OGG,HNL,Wed,no
6262.0,10:12,03:43,OH,BOS,MEM,Fri,yes
5981.0,14:00,01:49,XE,ORD,CAE,Mon,no
5126.0,19:10,01:00,EV,ATL,AVL,Sun,no
1083.0,06:30,03:30,AA,IAD,DFW,Wed,no
1028.0,16:31,03:04,CO,CLT,IAH,Sun,no
505.0,13:15,01:10,WN,SAN,PHX,Fri,yes
4.0,09:25,01:27,B6,JFK,BUF,Sun,no
1066.0,17:25,01:10,WN,SLC,BOI,Thu,yes
108.0,00:30,03:22,AS,ANC,SEA,Fri,no
128.0,12:34,01:35,FL,TPA,ATL,Mon,yes
765.0,20:30,01:55,WN,MDW,RDU,Fri,yes
6310.0,16:05,01:05,OH,BNA,CVG,Wed,no
6488.0,13:05,01:07,OO,RNO,SFO,Sat,no
190.0,10:57,05:00,B6,LAS,JFK,Wed,yes
3421.0,11:00,01:10,WN,CMH,MDW,Thu,yes
6471.0,16:54,01:16,OO,BFL,SFO,Wed,no
2811.0,09:20,02:19,DL,MEM,FLL,Tue,no
2824.0,12:55,01:33,XE,IAH,BHM,Sun,yes
407.0,19:05,03:04,UA,DEN,SEA,Sun,no
44.0,17:00,01:00,WN,HOU,DAL,Mon,no
6347.0,12:40,00:35,OO,DEN,COS,Wed,yes
3212.0,11:30,01:10,MQ,DFW,LIT,Tue,no
728.0,14:35,04:27,CO,EWR,DEN,Wed,yes
1813.0,07:45,01:40,US,CLT,TPA,Wed,no
4831.0,06:05,01:46,OO,OAK,SLC,Thu,no
6369.0,13:55,01:42,OH,CVG,ATL,Sun,yes
1046.0,12:00,03:33,DL,SLC,ATL,Sun,no
2707.0,13:45,01:25,MQ,DFW,LRD,Tue,yes
2397.0,13:25,00:50,WN,DAL,AUS,Mon,no
824.0,13:55,05:00,WN,PIT,PHX,Mon,yes
475.0,15:45,02:55,WN,OMA,PHX,Thu,yes
1103.0,10:16,02:23,FL,RSW,CMH,Thu,no
