,Flight,DepartureTime,Length,Airline,AirportFrom,AirportTo,DayOfWeek,Delay
0,2199.0,19:00,01:59,DL,MEM,MCO,Thu,yes
1,32.0,13:47,03:43,UA,DEN,EWR,Thu,yes
2,1050.0,15:35,01:00,WN,BWI,PIT,Mon,yes
3,379.0,13:34,02:21,DL,BUF,ATL,Tue,no
4,238.0,22:19,04:37,UA,SAN,IAD,Sun,no
5,3719.0,17:30,00:55,9E,LAN,DTW,Sun,no
6,245.0,14:32,00:34,HA,OGG,HNL,Wed,no
7,6262.0,10:12,03:43,OH,BOS,MEM,Fri,yes
8,5981.0,14:00,01:49,XE,ORD,CAE,Mon,no
9,5126.0,19:10,01:00,EV,ATL,AVL,Sun,no
10,1083.0,06:30,03:30,AA,IAD,DFW,Wed,no
11,1028.0,16:31,03:04,CO,CLT,IAH,Sun,no
12,505.0,13:15,01:10,WN,SAN,PHX,Fri,yes
13,4.0,09:25,01:27,B6,JFK,BUF,Sun,no
14,1066.0,17:25,01:10,WN,SLC,BOI,Thu,yes
15,108.0,00:30,03:22,AS,ANC,SEA,Fri,no
16,128.0,12:34,01:35,FL,TPA,ATL,Mon,yes
17,765.0,20:30,01:55,WN,MDW,RDU,Fri,yes
18,6310.0,16:05,01:05,OH,BNA,CVG,Wed,no
19,6488.0,13:05,01:07,OO,RNO,SFO,Sat,no
20,190.0,10:57,05:00,B6,LAS,JFK,Wed,yes
21,3421.0,11:00,01:10,WN,CMH,MDW,Thu,yes
22,6471.0,16:54,01:16,OO,BFL,SFO,Wed,no
23,2811.0,09:20,02:19,DL,MEM,FLL,Tue,no
24,2824.0,12:55,01:33,XE,IAH,BHM,Sun,yes
25,407.0,19:05,03:04,UA,DEN,SEA,Sun,no
26,44.0,17:00,01:00,WN,HOU,DAL,Mon,no
27,6347.0,12:40,00:35,OO,DEN,COS,Wed,yes
28,3212.0,11:30,01:10,MQ,DFW,LIT,Tue,no
29,728.0,14:35,04:27,CO,EWR,DEN,Wed,yes
30,1813.0,07:45,01:40,US,CLT,TPA,Wed,no
31,4831.0,06:05,01:46,OO,OAK,SLC,Thu,no
32,6369.0,13:55,01:42,OH,CVG,ATL,Sun,yes
33,1046.0,12:00,03:33,DL,SLC,ATL,Sun,no
34,2707.0,13:45,01:25,MQ,DFW,LRD,Tue,yes
35,2397.0,13:25,00:50,WN,DAL,AUS,Mon,no
36,824.0,13:55,05:00,WN,PIT,PHX,Mon,yes
37,475.0,15:45,02:55,WN,OMA,PHX,Thu,yes
38,1103.0,10:16,02:23,FL,RSW,CMH,Thu,no
39,454.0,21:10,01:39,US,PHX,SLC,Mon,no
40,5511.0,21:35,01:23,EV,ATL,GPT,Fri,no
41,1659.0,06:40,01:10,WN,CMH,BWI,Thu,no
42,52.0,22:20,00:56,AS,FAI,ANC,Tue,no
43,3797.0,09:25,01:58,9E,MEM,AUS,Sat,yes
44,2927.0,09:00,01:50,MQ,DFW,EVV,Sun,no
45,1900.0,15:50,02:50,AA,SNA,DFW,Thu,no
46,1939.0,20:00,02:08,DL,DCA,ATL,Sun,yes
47,7278.0,16:38,01:39,YV,ORD,SYR,Fri,no
48,853.0,09:25,02:30,WN,LAS,AUS,Sun,yes
49,1564.0,16:25,02:42,US,FLL,PHL,Tue,no
50,1570.0,19:15,02:35,US,FLL,PHL,Fri,no
51,532.0,13:30,03:23,CO,IAH,LGA,Mon,no
52,385.0,09:10,01:31,UA,SFO,LAX,Sun,no
53,1492.0,13:00,02:54,DL,MSP,BOS,Sat,no
54,1703.0,08:30,02:42,US,DCA,FLL,Mon,no
55,2290.0,20:20,01:50,WN,LAS,DEN,Tue,yes
56,3256.0,06:00,00:50,MQ,GRK,DFW,Wed,no
57,2530.0,10:00,02:43,DL,MSP,BOS,Sun,yes
58,168.0,10:25,00:43,HA,HNL,KOA,Wed,no
59,7038.0,07:13,02:03,OO,MSO,DEN,Mon,yes
60,5047.0,10:19,01:26,EV,LEX,ATL,Wed,yes
61,4649.0,18:50,03:00,MQ,LGA,MSP,Thu,yes
62,1402.0,19:50,02:20,AA,DFW,CLT,Fri,yes
63,2106.0,17:04,01:26,DL,MCI,MSP,Sun,no
64,3827.0,18:15,02:16,9E,PVD,DTW,Mon,yes
65,3415.0,15:55,01:40,WN,DAL,STL,Sun,yes
66,275.0,16:00,02:34,US,PHX,IAH,Sat,no
67,207.0,08:55,01:35,FL,ATL,CAK,Sat,yes
68,5325.0,13:47,01:37,EV,LYH,ATL,Wed,yes
69,1289.0,10:05,01:45,WN,SMF,PHX,Wed,yes
70,1547.0,08:50,01:25,WN,SFO,SNA,Fri,yes
71,1737.0,09:42,01:38,DL,BWI,DTW,Sun,no
72,207.0,19:35,01:05,WN,PHX,SAN,Wed,yes
73,300.0,21:00,01:45,WN,STL,DAL,Tue,no
74,626.0,16:14,03:11,F9,DTW,DEN,Sun,yes
75,4536.0,10:15,01:26,OO,RNO,SLC,Thu,yes
76,6279.0,15:07,01:25,OO,SFO,SNA,Wed,yes
77,472.0,11:05,01:30,US,PHX,BUR,Mon,no
78,66.0,13:27,01:39,DL,TPA,ATL,Thu,yes
79,2396.0,17:15,02:05,XE,EWR,DTW,Wed,yes
80,379.0,18:20,03:15,AA,DFW,SNA,Thu,yes
81,5169.0,09:11,03:28,EV,ATL,ELP,Tue,yes
82,102.0,19:35,02:23,UA,ORD,JAX,Sun,no
83,490.0,10:47,02:37,AS,SEA,SAN,Thu,no
84,2527.0,21:38,01:54,DL,ATL,FLL,Sat,no
85,2260.0,19:35,01:10,WN,BWI,BUF,Fri,yes
86,607.0,20:15,04:35,AA,ORD,LAX,Tue,no
87,2606.0,18:54,01:42,YV,MEM,CLT,Thu,no
